code,term
105969002,Disorder of connective tissue
10629311000119107,Psoriatic arthritis mutilans
1156765006,Persistent onset antinuclear antibody negative juvenile idiopathic oligoarthritis
1156766007,Persistent onset antinuclear antibody positive juvenile idiopathic oligoarthritis
1156801007,Macrophage activation syndrome due to juvenile systemic onset arthritis
1156817001,Extended oligoarticular onset antinuclear antibody positive juvenile idiopathic arthritis
1156819003,Extended oligoarticular onset antinuclear antibody negative juvenile idiopathic arthritis
1156843000,Uveitis due to persistent onset antinuclear antibody negative juvenile idiopathic oligoarthritis
1156844006,Uveitis due to persistent onset antinuclear antibody positive juvenile idiopathic oligoarthritis
1156845007,Uveitis due to extended onset antinuclear antibody negative juvenile idiopathic oligoarthritis
1156846008,Uveitis due to extended onset antinuclear antibody positive juvenile idiopathic oligoarthritis
1162295001,Psoriatic arthritis of multiple joints
1162306005,Oligoarticular psoriatic arthritis
1212005,Childhood type dermatomyositis
1231259004,Uveitis due to juvenile idiopathic arthritis
123246003,Still's disease
126766000,Lymphoepithelial sialadenitis of Sjögren's syndrome
148071003,Rheumatology disorder monitoring (& arthritis [& rheumatoid])
154425004,Sarcoidosis
155440007,Polyarteritis nodosa and allied conditions
155441006,Polyarteritis nodosa
155445002,(Goodpasture's syndrome) or (Wegener's granulomatosis) or (Takayasu's disease) or (polyarteritis nodosa NOS)
156370009,Psoriatic arthritis
156450004,Systemic lupus erythematosus
156451000,Scleroderma (& [systemic sclerosis])
156455009,(Sicca - Sjogren's - syndrome) or (keraconjunctivitis sicca) or (Sjogren's disease)
156457001,Polymyositis
156656001,Polymyalgia rheumatica
15728921000119109,Disorder of joint of left ankle due to Behcet syndrome
15729041000119108,Disorder of joint of right ankle due to Behcet syndrome
16024431000119108,Acute polyarticular juvenile idiopathic arthritis
16044751000119106,Polyarticular juvenile idiopathic arthritis
16051551000119103,Disorder of joint of left knee due to Behcet syndrome
16051591000119108,Disorder of joint of right knee due to Behcet syndrome
165839004,Rheumatoid factor detected
170845006,Rheumatology disorder monitoring (& arthritis [& rheumatoid])
170848008,Rheumatology disorder - joints affected
170849000,Rheumatology symptom change
170850000,Rheumatology drug side effect
170851001,Rheumatology disorder treatment changed
170853003,Rheumatology disorder treatment started
170854009,Rheumatology disorder treatment stopped
187230004,Pulmonary sarcoidosis
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes
187235009,Sarcoidosis of inferior turbinates
190815001,Cryoglobulinemic vasculitis
191033003,[X]Sarcoidosis of other and combined sites
192673008,Sarcoid meningitis
193101001,Multiple cranial nerve palsies in sarcoidosis
193177003,Polyneuropathy in collagen vascular disease
193178008,Polyneuropathy in disseminated lupus erythematosus
193179000,Polyneuropathy in polyarteritis nodosa
193181003,Polyneuropathy in collagen vascular disease NOS
193195000,Sarcoid neuropathy
193248005,Myopathy due to disseminated lupus erythematosus
193249002,Myopathy due to polyarteritis nodosa
193251003,Sarcoid myopathy
193252005,Myopathy due to scleroderma
193253000,Myopathy due to Sjögren's disease
193776001,Keratoconjunctivitis sicca (excluding Sjögren syndrome)
195033009,Sarcoid heart muscle disease
195135000,Sarcoid myocarditis
19514005,Arthritis mutilans
195346008,Polyarteritis nodosa and allied conditions
195347004,(Polyarteritis nodosa) or (necrotising angiitis)
195351002,Goodpasture's syndrome
195352009,Hypersensitivity angiitis NOS
195353004,Granulomatosis with polyangiitis
195354005,Giant cell arteritis
195355006,Giant cell arteritis
195356007,Giant cell arteritis
195357003,Giant cell arteritis NOS
195361009,(Aortic arch arteritis) or (Takayasu's disease[& pulseless])
195362002,Churg-Strauss vasculitis
195363007,Juvenile polyarteritis
195365000,Polyarteritis nodosa and allied conditions NOS
195368003,(Arteritis unspecified) or (aortitis)
195375002,Vasculitis
196133001,Lung disease with systemic sclerosis
196136009,Lung disease co-occurrent with polymyositis
196137000,Lung disease with Sjögren's disease
196138005,Lung disease with systemic lupus erythematosus
197368002,Hepatic granulomas in sarcoidosis
197607004,Nephrotic syndrome in polyarteritis nodosa
200936003,Lupus erythematosus
200938002,Discoid lupus erythematosus
200956002,Psoriatic arthritis with spine involvement
201435004,Systemic lupus erythematosus
201436003,Drug-induced systemic lupus erythematosus
201438002,Systemic lupus erythematosus with pericarditis
201439005,Systemic lupus erythematosus NOS
201440007,Scleroderma (& [acrosclerosis] or [systemic sclerosis])
201441006,Scleroderma
201444003,(Sicca - Sjogren's - syndrome) or (keratoconjunctivitis sicca)
201449008,Adult onset Still's disease
201484007,Arthropathy in Behcet's syndrome (& [unspecified site])
201485008,Arthropathy in Behcet's syndrome of the shoulder region
201486009,Arthropathy in Behcet's syndrome of the upper arm
201487000,Arthropathy in Behcet's syndrome of the forearm
201488005,Arthropathy in Behcet's syndrome of the hand
201489002,Arthropathy in Behcet's syndrome of the pelvic region and thigh
201490006,Arthropathy in Behcet's syndrome of the lower leg
201491005,Arthropathy in Behcet's syndrome of the ankle and/or foot
201492003,Arthropathy in Behcet's syndrome of multiple sites
201493008,Arthropathy in Behcet's syndrome of other specified sites
201494002,Arthropathy in Behcet's syndrome NOS
201763001,Inflammatory polyarthropathy: (& [rheumatoid arthritis] or [other])
201796004,Systemic onset juvenile chronic arthritis
201801009,Other juvenile arthritis
201803007,Polyarticular onset juvenile chronic arthritis
201804001,Juvenile psoriatic arthritis with psoriasis
